x,y
6550.566666666667,0.6496
6550.566666666667,0.6448
6550.683333333333,0.6432
6550.683333333333,0.64
6550.8,0.6384
6550.8,0.6352
6550.916666666667,0.6336
6550.916666666667,0.6304
6551.033333333334,0.6288
6551.033333333334,0.6272
6551.15,0.6256
6551.15,0.6224
6551.266666666666,0.6208
6551.266666666666,0.6176
6551.383333333333,0.616
6551.383333333333,0.6128
6551.5,0.6112
6551.5,0.6096
6551.616666666667,0.608
6551.616666666667,0.6048
6551.733333333334,0.6032
6551.733333333334,0.6016
6551.85,0.6
6551.85,0.5984
6551.966666666666,0.5968
6551.966666666666,0.5952
6552.083333333333,0.5936
6552.083333333333,0.592
6552.2,0.5904
6552.2,0.5888
6552.316666666667,0.5872
6552.316666666667,0.5856
6552.433333333333,0.584
6552.433333333333,0.5824
6553.483333333334,0.568
6553.483333333334,0.5664
6553.716666666666,0.5632
6553.716666666666,0.5616
6553.95,0.5584
6553.95,0.5568
6554.3,0.552
6554.3,0.5504
6554.65,0.5456
6554.65,0.544
6554.766666666666,0.5424
6554.766666666666,0.5408
6555.0,0.5376
6555.0,0.5344
6555.233333333334,0.5312
6555.233333333334,0.5296
6555.35,0.528
6555.35,0.5264
6555.466666666666,0.5248
6555.466666666666,0.5232
6555.583333333333,0.5216
6555.583333333333,0.52
6555.7,0.5184
6555.7,0.5168
6555.816666666667,0.5152
6555.816666666667,0.5136
6555.933333333333,0.512
6555.933333333333,0.5104
6556.05,0.5088
6556.05,0.5056
6556.166666666667,0.504
6556.166666666667,0.5024
6556.283333333334,0.5008
6556.283333333334,0.4992
6556.4,0.4976
6556.4,0.496
6556.516666666666,0.4944
6556.516666666666,0.4912
6556.633333333333,0.4896
6556.633333333333,0.488
6556.75,0.4864
6556.75,0.4832
6556.866666666667,0.4816
6556.866666666667,0.48
6556.983333333334,0.4784
6556.983333333334,0.4768
6557.1,0.4752
6557.1,0.472
6557.216666666666,0.4704
6557.216666666666,0.4672
6557.333333333333,0.4656
6557.333333333333,0.4608
6557.45,0.4592
6557.45,0.4576
6557.566666666667,0.456
6557.566666666667,0.4528
6557.683333333333,0.4512
6557.683333333333,0.4496
6557.8,0.448
6557.8,0.4464
6557.916666666667,0.4448
6557.916666666667,0.4432
6558.033333333334,0.4416
6558.033333333334,0.44
6558.15,0.4384
6558.15,0.4368
6558.266666666666,0.4352
6558.266666666666,0.432
6558.616666666667,0.4272
6558.966666666666,0.4272
6559.55,0.4352
